ROI	Subj1	Subj2	GroupStr	VideoType	Y	Yz
Default	BSCMR010	BSCMR107	A_A	erotic	0.056481333528572576	0.056541509893264084
Default	BSCMR010	BSCMR107	A_A	horror	0.02105967321508697	0.0210627874345786
Default	BSCMR010	BSCMR107	A_A	neutral	0.11697111200334445	0.11750901040012167
Default	BSCMR010	BSCMR109	A_A	erotic	-0.1169917540334412	-0.11752993882855606
Default	BSCMR010	BSCMR109	A_A	horror	0.32554577910689525	0.33783788009935434
Default	BSCMR010	BSCMR109	A_A	neutral	0.07301661603173193	0.07314679360575368
Default	BSCMR010	BSCMR110	A_A	erotic	-0.08962493981073331	-0.08986607772017027
Default	BSCMR010	BSCMR110	A_A	horror	0.16678238763437864	0.16835514795353956
Default	BSCMR010	BSCMR110	A_A	neutral	0.3378993244935467	0.35171918620011466
Default	BSCMR010	BSCMR111	A_A	erotic	0.14791488467470107	0.14900800470264208
Default	BSCMR010	BSCMR111	A_A	horror	0.23726653766370312	0.24187558924021657
Default	BSCMR010	BSCMR111	A_A	neutral	0.125373206910725	0.12603636295693876
Default	BSCMR011	BSCMR012	A_A	erotic	-0.16731999559026112	-0.16890818914747618
Default	BSCMR011	BSCMR012	A_A	horror	-0.05477758632720005	-0.05483247342618488
Default	BSCMR011	BSCMR012	A_A	neutral	0.03432331156810816	0.03433679975036984
Default	BSCMR011	BSCMR037	A_A	erotic	0.14260734767446367	0.1435860462602716
Default	BSCMR011	BSCMR037	A_A	horror	0.30697380805483465	0.3172009400946255
Default	BSCMR011	BSCMR037	A_A	neutral	-0.01400158977149087	-0.014002504857429094
Default	BSCMR011	BSCMR038	A_A	erotic	-0.0202361430469929	-0.020238905969422807
Default	BSCMR011	BSCMR038	A_A	horror	-0.06408686287430837	-0.06417481732704562
Default	BSCMR011	BSCMR038	A_A	neutral	0.321173177572228	0.33295467234396675
Default	BSCMR011	BSCMR056	A_A	erotic	0.34536354290720556	0.36016974671330215
Default	BSCMR011	BSCMR056	A_A	horror	-0.30036017994618147	-0.3099154533658298
Default	BSCMR011	BSCMR056	A_A	neutral	0.1861736579872991	0.18837049395391567
Default	BSCMR011	BSCMR057	A_A	erotic	0.14733828998859605	0.1484185639574526
Default	BSCMR011	BSCMR057	A_A	horror	0.06562309992418561	0.06571754365250265
Default	BSCMR011	BSCMR057	A_A	neutral	0.1962859190045882	0.1988666916870163
Default	BSCMR011	BSCMR061	A_A	erotic	0.12748220892153897	0.1281796236178806
Default	BSCMR011	BSCMR061	A_A	horror	0.10205268046606594	0.10240919531032742
Default	BSCMR011	BSCMR061	A_A	neutral	0.20619570805986387	0.20919484780777073
Default	BSCMR011	BSCMR068	A_A	erotic	0.168179454972144	0.16979253402882483
Default	BSCMR011	BSCMR068	A_A	horror	0.3122830452547619	0.32307316582577894
Default	BSCMR011	BSCMR068	A_A	neutral	0.026581940175085306	0.026588203759738232
Default	BSCMR011	BSCMR070	A_A	erotic	0.26656694602506015	0.27316450149916927
Default	BSCMR011	BSCMR070	A_A	horror	0.23918792078852147	0.24391257668748295
Default	BSCMR011	BSCMR070	A_A	neutral	-0.2781023300627377	-0.28562415237224315
Default	BSCMR011	BSCMR074	A_A	erotic	0.13184591668150492	0.13261795962125605
Default	BSCMR011	BSCMR074	A_A	horror	-0.028587314984105352	-0.028595106318970345
Default	BSCMR011	BSCMR074	A_A	neutral	0.10875207791661569	0.10918388373346055
Default	BSCMR011	BSCMR078	A_A	erotic	0.01954484008350606	0.01954732936875546
Default	BSCMR011	BSCMR078	A_A	horror	-0.09102928488308612	-0.09128197532333707
Default	BSCMR011	BSCMR078	A_A	neutral	0.16127130951344096	0.16269167938391957
Default	BSCMR011	BSCMR081	A_A	erotic	-0.1014540986769242	-0.10180435109519316
Default	BSCMR011	BSCMR081	A_A	horror	0.1757934875298788	0.17763869337866017
Default	BSCMR011	BSCMR081	A_A	neutral	0.2911670377787585	0.2998409331777995
Default	BSCMR011	BSCMR088	A_A	erotic	0.28411481234210534	0.2921525481472948
Default	BSCMR011	BSCMR088	A_A	horror	0.3894069800048248	0.41110082657616415
Default	BSCMR011	BSCMR088	A_A	neutral	-0.6670605447919766	-0.8054282722223811
Default	BSCMR011	BSCMR089	A_A	erotic	0.13966732054710562	0.14058626184970618
Default	BSCMR011	BSCMR089	A_A	horror	0.4406252207753921	0.4730063925439774
Default	BSCMR011	BSCMR089	A_A	neutral	-0.3097667658570944	-0.32028739902064185
Default	BSCMR011	BSCMR090	A_A	erotic	-0.12954579292180254	-0.13027786260992066
Default	BSCMR011	BSCMR090	A_A	horror	0.03553496403803509	0.0355499324455147
Default	BSCMR011	BSCMR090	A_A	neutral	-0.05313971758285505	-0.05318982167041312
Default	BSCMR011	BSCMR091	A_A	erotic	0.0569591477589949	0.057020866311537605
Default	BSCMR011	BSCMR091	A_A	horror	0.18283247597549201	0.1849115614282227
Default	BSCMR011	BSCMR091	A_A	neutral	0.36971746849725984	0.38809579431056074
Default	BSCMR011	BSCMR092	A_A	erotic	0.4110302408366753	0.4368502720841318
Default	BSCMR011	BSCMR092	A_A	horror	0.08936852480071109	0.08960759232725729
Default	BSCMR011	BSCMR092	A_A	neutral	0.26521878626811873	0.2717137766348512
Default	BSCMR011	BSCMR093	A_A	erotic	-0.0895920554394746	-0.08983292716042757
Default	BSCMR011	BSCMR093	A_A	horror	0.24574991363936818	0.2508844876497283
Default	BSCMR011	BSCMR093	A_A	neutral	-0.16894081724678453	-0.17057616116708207
Default	BSCMR011	BSCMR094	A_A	erotic	0.23856909460530346	0.24325630148479288
Default	BSCMR011	BSCMR094	A_A	horror	-0.0025657764562780987	-0.00256578208664774
Default	BSCMR011	BSCMR094	A_A	neutral	-0.17057106684027032	-0.17225478419017823
Default	BSCMR011	BSCMR095	A_A	erotic	0.1103601023335109	0.11081144336258052
Default	BSCMR011	BSCMR095	A_A	horror	0.08383193452777708	0.08402915129843108
Default	BSCMR011	BSCMR095	A_A	neutral	0.18443341326089074	0.1865683684015039
Default	BSCMR011	BSCMR096	A_A	erotic	-0.2831314805001086	-0.29108319520415704
Default	BSCMR011	BSCMR096	A_A	horror	-0.06573881850254627	-0.06583376360251181
Default	BSCMR011	BSCMR096	A_A	neutral	-0.059494778995013695	-0.059565124930949266
Default	BSCMR011	BSCMR097	A_A	erotic	0.1447284451018622	0.14575184771608907
Default	BSCMR011	BSCMR097	A_A	horror	0.053343605353831265	0.05339428904054916
Default	BSCMR011	BSCMR097	A_A	neutral	-0.094446180115795	-0.09472851525834952
Default	BSCMR011	BSCMR098	A_A	erotic	-0.05858377824238174	-0.058650937589515485
Default	BSCMR011	BSCMR098	A_A	horror	-0.24406175093015492	-0.2490886096798118
Default	BSCMR011	BSCMR098	A_A	neutral	-0.24565251878739297	-0.25078083540628043
Default	BSCMR011	BSCMR099	A_A	erotic	0.13434708707282264	0.13516423793831178
Default	BSCMR011	BSCMR099	A_A	horror	0.44445168834247667	0.47776474956132897
Default	BSCMR011	BSCMR099	A_A	neutral	-0.011980416923235681	-0.011980990157238797
Default	BSCMR011	BSCMR100	A_A	erotic	-0.17119598036193445	-0.17289849484513803
